1	Colton	Food 4 Less	CA	1150 N Pepper Ave	0	1		San Bernardino	52	(909) 370-1761	Grocery Stores	$9,932,000	www.food4less.com	92324
2	Beaumont	Food 4 Less	CA	1691 E 6th St	0	1		Riverside	52	(951) 845-3323	Grocery Stores	$9,932,000	www.food4less.com	92223
3	Santa Ana	Stater Bros Markets	CA	2630 W Edinger Ave	0	1		Orange	52	(714) 437-0750	Grocery Stores	$9,932,000	www.staterbros.com	92704
4	Anaheim	Food 4 Less	CA	1616 W Katella Ave	0	1		Orange	52	(714) 539-7497	Grocery Stores	$9,932,000	www.food4less.com	92802
5	Los Angeles	Vons	CA	1342 N Alvarado St	0	1		Los Angeles	52	(213) 483-5573	Grocery Stores	$9,932,000	www.vons.com	90026
6	San Diego	Krist Liquor	CA	7152 Linda Vista Rd	0	1	29	San Diego	52	(858) 292-7986	Grocery Stores	$9,932,000	plus.google.com/100084986273854334695/about	92111
7	Murrieta	Ralphs	CA	40473 Murrieta Hot Springs Rd	0	1		Riverside	50	(951) 698-1768	Grocery Stores	$9,550,000	www.ralphs.com	92563
8	Glendora	Stater Bros Markets	CA	1830 E Route 66	0	1		Los Angeles	50	(626) 963-0513	Grocery Stores	$9,550,000	www.staterbros.com	91740
9	Compton	Ralphs	CA	280 E Compton Blvd	0	1		Los Angeles	50	(310) 631-6130	Grocery Stores	$9,550,000	www.ralphs.com	90220
10	Duarte	Ralphs	CA	1193 Huntington Dr	0	1		Los Angeles	50	(626) 358-2338	Grocery Stores	$9,550,000	www.ralphs.com	91010
11	Manhattan Beach	Vons	CA	410 Manhattan Beach Blvd	0	1		Los Angeles	50	(310) 379-3051	Grocery Stores	$9,550,000	www.vons.com	90266
12	Los Angeles	Food 4 Less	CA	4910 Huntington Dr S	0	1		Los Angeles	50	(323) 222-2659	Grocery Stores	$9,550,000	www.food4less.com	90032
13	Grass Valley	Grocery Outlet	CA	616 Sutton Way	0	1		Nevada	50	(530) 477-6961	Grocery Stores	$9,550,000	www.groceryoutlet.com	95945
14	Ridgecrest	Vons	CA	930 N Norma St	0	1		Kern	50	(760) 446-5587	Grocery Stores	$9,550,000	www.vons.com	93555
15	Beverly Hills	Veev Spirits LLC	CA	2631 Hutton Dr	0	1	8	Los Angeles	11	(310) 247-8785	Liquors Wholesale	$9,383,000	www.veevlife.com	90210
16	Berkeley	Kermit Lynch Wine Merchant	CA	830 Cedar St	0	1		Alameda	11	(510) 524-1686	Wines Wholesale	$9,383,000	www.kermitlynch.com	94710
17	Blythe	Lovekin Liquor & Deli	CA	310 S Lovekin Blvd	0	1	42	Riverside	14	(760) 922-8500	Gas Stations	$9,310,000	www.valero.com	92225
18	Santa Barbara	Daniel Bryant Youth & Family Treatment Center	CA	1111 Garden St	0	1	14	Santa Barbara	23	(805) 730-7575	Alcohol Wholesale	$9,200,000	www.cadasb.org	93101
19	Mira Loma	Galleano Winery Inc	CA	4231 Wineville Ave	0	1	81	Riverside	15	(951) 685-5376	Wines, Brandy & Brandy Spirits - Mfg	$9,135,000	galleanowwinery.com	91752
20	Rutherford	Nickel & Nickel Vineyards	CA	8164 Saint Helena Hwy	0	1	4	Napa	15	(707) 967-9600	Wine Manufacturers	$9,135,000	nickelandnickel.com	94573
21	Santa Maria	Cottonwood Canyon Vineyard & Winery	CA	3940 Dominion Rd	0	1	26	Santa Barbara	15	(805) 937-8463	Wine Manufacturers	$9,135,000	cottonwoodcanyong.com	93454
22	Lompoc	Melville Vineyards & Winery	CA	5185 E Highway 246	0	1	25	Santa Barbara	15	(805) 735-7030	Wine Manufacturers	$9,135,000	melvillewinery.com	93436
